slope;AccPdlActual;AccPdlTarget;G03;tEXT;tADM;kissShock;accelHole;G08;Gmax;Gpth;G2;G1;tG01;tGmax;NG08;NG2;NGmax;t10kph;t20kph;t4m;t10m;dGmin;dGmax;maxNEGdGafterGp;dNmin;vehicleRollback;critSlopeTakeOff;dur90GmaxD;G50kph;G70kph;G90kph;t80Gmax;zero50;zero100;Gpp;freqGpp;t0_sec;t0_min;t0_rel;SOC;name_base;annee;essai;name;prestation;mode;name_file;speed;mode_detail;pedale_press
27;100;100;1.68952055012023;7.18936525730085;-9999;0.767347671078773;0.194127069964587;1.76900712488298;2.08416183184981;1.88092487727273;1.84766261536797;NaN;0.179999999999993;0.259999999999991;-9999;-9999;-9999;1.52;3.05;2.34999999999999;NaN;1.67951675895773;NaN;4.71424867598347;0;0.0313983357568926;NaN;3.37;NaN;NaN;NaN;0.209999999999994;NaN;NaN;0.771635351000032;3.12500000000007;122.51;2.04183333333333;1.51133333333333;63.41;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.69562021800593;7.09999999999994;-9999;0.717736250730185;0.293913696098475;1.71653613519156;2.08806095766465;1.90939190841751;1.90329996926407;NaN;0.180000000000007;0.260000000000019;-9999;-9999;-9999;1.53;3.06999999999999;2.36000000000001;NaN;0.438588413938923;NaN;7.68207940821674;0;0.0268153791009093;NaN;3.37;NaN;NaN;NaN;0.200000000000017;NaN;NaN;1.28081731961229;2.77777777777767;153.44;2.55733333333333;2.02683333333333;63.41;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.67192727556608;7.19999999999996;-9999;0.786488145005381;0.138859300081189;1.7470936754301;2.02238810159007;1.86363100841751;1.70294324545455;NaN;0.190000000000026;0.260000000000019;-9999;-9999;-9999;1.52000000000001;3.05000000000001;2.36000000000001;NaN;1.62659063011036;NaN;3.08240238850072;0;0.0321692297420452;NaN;3.37;NaN;NaN;NaN;0.210000000000008;NaN;NaN;0.74880264086086;3.84615384615398;167.73;2.7955;2.265;62.664;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.67086855567672;7.19999999999996;-9999;0.784063173073929;0.304922049809296;1.69433067468647;2.07022319691613;1.87955152407407;1.86619350238095;NaN;0.179999999999978;0.259999999999991;-9999;-9999;-9999;1.53999999999999;3.06999999999999;2.36999999999998;NaN;0.293533642509874;NaN;6.22978447817846;0;0.027713527724167;NaN;3.37;NaN;NaN;NaN;0.20999999999998;NaN;NaN;1.17661851223194;3.12500000000007;181.86;3.031;2.5005;62.664;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.68306311132392;7.19999999999996;-9999;0.804049187280373;0.184762928570593;1.78069685194478;2.09734004832368;1.90445268063973;1.79263880974026;NaN;0.180000000000007;0.259999999999991;-9999;-9999;-9999;1.47999999999999;3.02000000000001;2.33000000000001;NaN;1.72958974566783;NaN;3.40603319722242;0;0.0232214818702272;NaN;3.37;NaN;NaN;NaN;0.199999999999989;NaN;NaN;0.709551538275391;4.16666666666651;196.87;3.28116666666667;2.75066666666667;62.664;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.65913640108308;7.21598122831052;-9999;0.829836194593657;0.227662559836781;1.64452395347265;2.0018942223594;1.88275543316498;1.7306076448052;NaN;0.180000000000007;0.25;-9999;-9999;-9999;1.53999999999999;3.08000000000001;2.38;NaN;1.57935112756852;NaN;6.16739896948706;0;0.0274469142431816;NaN;3.37;NaN;NaN;NaN;0.200000000000017;NaN;NaN;1.1596496462914;3.12499999999951;212;3.53333333333333;3.00283333333333;62.664;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.62779050875681;7.184026230543;-9999;0.761380655096874;0.311890976257401;1.57665442363602;1.9987237522148;1.82061269360269;1.80851667402597;NaN;0.179999999999978;0.25;-9999;-9999;-9999;1.57999999999998;3.09;2.41;NaN;0.43431160573828;NaN;7.25712121032256;0;0.022110489590227;NaN;3.37;NaN;NaN;NaN;0.199999999999989;NaN;NaN;1.28006957252849;2.94117647058845;226.14;3.769;3.2385;62.664;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.71910287259944;7.37877022100662;-9999;0.837605334556903;0.192635947860606;1.79384512156042;2.04276989872689;1.8938060530303;1.86770240064935;NaN;0.159999999999997;0.239999999999981;-9999;-9999;-9999;1.44999999999999;2.98999999999998;2.28999999999999;3.50999999999999;2.91753416695465;NaN;3.21503738417555;0;0.0157968331927277;NaN;3.37;NaN;NaN;NaN;0.189999999999998;NaN;NaN;0.716465699028345;4.54545454545516;241.92;4.032;3.5015;62.664;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.68329532982767;7.32586102500002;-9999;0.850542252276276;0.241846680096316;1.72758115379713;2.04202430309388;1.87877713367003;1.86620884372294;NaN;0.170000000000016;0.25;-9999;-9999;-9999;1.51000000000005;3.05000000000001;2.35000000000002;3.57000000000005;2.29198767613145;NaN;5.11120478894727;0;0.0235918330117422;NaN;3.37;NaN;NaN;NaN;0.200000000000045;NaN;NaN;1.08256560933877;3.57142857142892;257.21;4.28683333333333;3.75633333333333;62.664;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.67041937764815;7.19999999999995;-9999;0.884460145371978;0.335974915177371;1.66562834166108;2.051425866772;1.87767947659933;1.85976699935065;NaN;0.170000000000016;0.25;-9999;-9999;-9999;1.52000000000004;3.05000000000001;2.35000000000002;3.58000000000004;1.79044919974775;NaN;7.40353951572716;0;0.0177661653618188;NaN;3.37;NaN;NaN;NaN;0.200000000000045;NaN;NaN;1.39459750687341;3.12499999999951;274.02;4.567;4.0365;61.918;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.67529281025719;7.26083025046086;-9999;0.818824068826075;0.119188270554006;1.78180182522547;2.0397054731339;1.86596426212121;1.64651836688312;NaN;0.180000000000007;0.259999999999991;-9999;-9999;-9999;1.51999999999998;3.05000000000001;2.37;NaN;2.81691987531475;NaN;3.42329983637893;0;0.0422969423911375;NaN;3.37;NaN;NaN;NaN;0.20999999999998;NaN;NaN;0.767390072742999;3.33333333333384;288.93;4.8155;4.285;61.918;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.6973582152976;7.19999999999995;-9999;0.890911129489105;0.168312456980654;1.78285994285033;2.07490475107121;1.8829855523569;1.79940612272727;NaN;0.17999999999995;0.259999999999991;-9999;-9999;-9999;1.5;3.03999999999996;2.34999999999997;3.56999999999999;2.81341238606608;NaN;3.02878153812294;0;0.0361516361447728;NaN;3.37;NaN;NaN;NaN;0.20999999999998;NaN;NaN;0.743164455452515;3.84615384615398;303.59;5.05983333333333;4.52933333333333;61.918;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.73187259156576;7.34357745730092;-9999;0.851506477557016;0.223627292081636;1.73124501544976;2.09120171510916;1.93198557693603;1.89856006212121;NaN;0.170000000000016;0.25;-9999;-9999;-9999;1.5;3.03000000000003;2.32999999999998;NaN;2.73429350269164;NaN;4.4404630551128;0;0.0296903730534091;NaN;3.37;NaN;NaN;NaN;0.199999999999989;NaN;NaN;0.969178950341053;3.33333333333384;320.25;5.3375;4.807;61.918;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.66772816262062;7.30617251566823;-9999;0.71284798872621;0.247522055840683;1.67104965150438;2.05233813279711;1.88860812138047;1.85897287164502;NaN;0.180000000000007;0.260000000000048;-9999;-9999;-9999;1.54000000000002;3.08000000000004;2.38000000000005;NaN;0.24484777147642;NaN;6.44249726471849;0;0.0266376981928784;NaN;3.37;NaN;NaN;NaN;0.210000000000036;NaN;NaN;0.999953680557514;2.50000000000014;335.21;5.58683333333333;5.05633333333333;61.918;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.70944435850764;7.19999999999996;-9999;0.921541325883637;0.18133680364643;1.76123208193137;2.04410646113229;1.89515786632997;1.85964772294372;NaN;0.160000000000025;0.240000000000009;-9999;-9999;-9999;1.47000000000003;3.00999999999999;2.30000000000001;NaN;2.81380940694078;NaN;3.44903411515977;0;0.0131795832696973;NaN;3.37;NaN;NaN;NaN;0.189999999999998;NaN;NaN;0.921048817453395;4.16666666666651;351;5.85;5.3195;61.918;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.74442935499542;7.20515730474135;-9999;0.846356288379217;0.493294624846657;1.56124181760256;2.11934861600438;1.95610970808081;1.85523890649351;NaN;0.169999999999959;0.25;-9999;-9999;-9999;1.42999999999995;2.96999999999997;2.27999999999997;3.47999999999996;2.62907543669642;NaN;3.60751923791727;0;0.0173974142293182;NaN;3.37;NaN;NaN;NaN;0.199999999999989;NaN;NaN;0.740868006242429;4.54545454545398;366.34;6.10566666666667;5.57516666666667;61.918;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.66753502161658;7.32207737726272;-9999;0.818207201930003;0.157680834078767;1.76043855744558;2.04095455529561;1.84954007491582;1.67660838549784;NaN;0.180000000000007;0.25;-9999;-9999;-9999;1.52000000000004;3.04000000000002;2.36000000000001;NaN;2.98845337439629;NaN;3.21095865841978;0;0.0338794142146215;NaN;3.37;NaN;NaN;NaN;0.199999999999989;NaN;NaN;0.809366797613062;3.57142857142892;381.51;6.3585;5.828;61.172;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.74359403272961;7.24197930562763;-9999;0.789016376474038;0.196309410148428;1.80311889582545;2.03496398617451;1.92330074107744;1.90663854372294;NaN;0.169999999999959;0.25;-9999;-9999;-9999;1.44999999999999;2.99000000000001;2.28999999999996;3.49000000000001;2.56837192565967;NaN;3.21812234247623;0;0.018573590330909;NaN;3.37;NaN;NaN;NaN;0.189999999999998;NaN;NaN;0.655325204541161;3.84615384615398;397.1;6.61833333333333;6.08783333333333;61.172;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.67298348109361;7.32132163624736;-9999;0.862083680270621;0.130070447192595;1.69240833766;1.9736990922071;1.87041047171717;1.7148728987013;NaN;0.170000000000016;0.25;-9999;-9999;-9999;1.50999999999999;3.05000000000001;2.35000000000002;3.56999999999999;2.07041102534989;NaN;3.73121939272072;0;0.0203976086649998;NaN;3.37;NaN;NaN;NaN;0.199999999999989;NaN;NaN;0.819990743572723;3.57142857142892;413.25;6.8875;6.357;61.172;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
27;100;100;1.65116789776379;7.24269461955057;-9999;0.783645968058445;0.236718869200436;1.74043304400348;2.05028106254583;1.85081186885522;1.79242369372294;NaN;0.180000000000007;0.259999999999991;-9999;-9999;-9999;1.50999999999999;3.06;2.37;NaN;1.85511320834875;NaN;5.00736418340576;0;0.0297575605661364;NaN;3.37;NaN;NaN;NaN;0.20999999999998;NaN;NaN;0.902764379676781;3.12500000000062;428.31;7.1385;6.608;61.172;"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC";"2021";"Essais_VE";"66651-2021-001_VWG_ID3_EV_150kW_RED1";"Décollage";"Mode_COMFORT";"VW_ID3_REPET_TAKE_OFF_Comfort_SLOPE_26%_SOC_65%_100%_MMAC.dat";NaN;;100
